"OrderID","BuyerID","Age"
"CJGYBM","KNCJPQ,"25"
"ZYCGYF","ELDECL,"20"
"ARKSNF","WBGDCR,"32"
"AJKDXA","MFIGYF,"25"
"XHXSGF","BUUYEX,"24"
"FRIELB","LIBMME,"34"
"VHMQRQ","PAMMKA,"26"
"JSULGR","IIRAGT,"43"
"UZPFAG","MXEKGT,"27"
"PIYZEW","VSLTUV,"21"
"NHDUHA","AAXAPL,"34"
"CZHLUK","SLMUKT,"19"
"DBCSKR","GEHLXL,"22"
"EXSILV","OHYAMF,"28"
"RSAVGA","IKCJVF,"23"
"RAIFWO","ELPYUN,"23"
"PSLUST","LJQKRF,"24"
"RLRXOK","WWULVI,"24"
"UNMOIX","UMVJSY,"21"
"SSEHAR","OLMFZR,"33"
"WGFMQO","HKJICA,"31"
"ONTXNX","XAUUPP,"36"
"XUBYOE","NDPCKR,"24"
"UCOVPX","PBXAPV,"24"
"EWRMQJ","JIZTKV,"46"
"ZJDPPR","PJPZAX,"25"
"YXFXZM","AFSPNY,"39"
"RYSQSJ","EUJTSR,"24"
"WDNZNJ","JJYTQT,"20"
"WBAWYP","ZTYAVK,"32"
"MMYVIF","RXABGG,"46"
"LUOVVP","XTQNSH,"34"
"HVFMUV","IAQAZS,"22"
"UKKJNS","XRKZCM,"26"
"QGHDRQ","LUPFZK,"20"
"CZPPOZ","ONLYSZ,"20"
"AHGDOA","BJHDYO,"24"
"GNDXRD","OBRVTW,"37"
"FTXAPM","CGHKMM,"28"
"SIZEXV","LECFUQ,"22"
"EVWVDF","QLMUKI,"27"
"LQPVUN","KAXTFK,"20"
"YYNMPN","RGIGEX,"26"
"LDBRDT","IEARZI,"31"
"ZEKDOV","LIILPI,"22"
"KBYLNQ","NHQDOX,"28"
"MLGDWG","KMSNDV,"43"
"MANCPJ","GSEAQY,"26"
"UFTZMV","ZJMKAG,"25"
"JHZWUZ","IYGMFK,"44"
"CAHSFK","VCBKAX,"27"
"TLICEV","ATHBQM,"33"
"JSUMLI","RXYZGR,"38"
"FVLOCJ","MFGDTB,"46"
"CDNRYC","MJOIAA,"29"
"ZPUOQO","DRMRIE,"28"
"LBQVTY","PFABBA,"45"
"GDVSXN","QYBAUV,"20"
"MRGKBM","WZRFIP,"35"
