"OrderID","DeviceName","DeviceType"
"CJGYBM","Desktop Mac","Desktop"
"ZYCGYF","Desktop Windows","Desktop"
"ARKSNF","Android Phone","Android"
"AJKDXA","Android Phone","Android"
"XHXSGF","Desktop Mac","Desktop"
"FRIELB","Android Tabled","Android (Tablet)"
"VHMQRQ","Android Phone","Android"
"JSULGR","Android Phone","Android"
"UZPFAG","iPad","iPad"
"PIYZEW","Desktop Mac","Desktop"
"NHDUHA","iPad","iPad"
"CZHLUK","Desktop Windows","Desktop"
"DBCSKR","Desktop Windows","Desktop"
"EXSILV","iPad","iPad"
"RSAVGA","iPad","iPad"
"RAIFWO","Desconhecido","Desconhecido"
"PSLUST","iPad","iPad"
"RLRXOK","Android Phone","Android"
"UNMOIX","Android Tabled","Android (Tablet)"
"SSEHAR","Android Tabled","Android (Tablet)"
"WGFMQO","iPhone","iPhone"
"ONTXNX","Android Phone","Android"
"XUBYOE","Desktop Windows","Desktop"
"UCOVPX","Android Phone","Android"
"EWRMQJ","Desktop Mac","Desktop"
"ZJDPPR","iPad","iPad"
"YXFXZM","iPad","iPad"
"RYSQSJ","iPad","iPad"
"WDNZNJ","iPad","iPad"
"WBAWYP","Desktop Windows","Desktop"
"MMYVIF","Desconhecido","Desconhecido"
"LUOVVP","Desconhecido","Desconhecido"
"HVFMUV","iPhone","iPhone"
"UKKJNS","iPad","iPad"
"QGHDRQ","Desconhecido","Desconhecido"
"CZPPOZ","Desktop Windows","Desktop"
"AHGDOA","Desktop Mac","Desktop"
"GNDXRD","Desconhecido","Desconhecido"
"FTXAPM","iPad","iPad"
"SIZEXV","Android Phone","Android"
"EVWVDF","Android Phone","Android"
"LQPVUN","Android Phone","Android"
"YYNMPN","iPhone","iPhone"
"LDBRDT","Android Phone","Android"
"ZEKDOV","iPhone","iPhone"
"KBYLNQ","Desconhecido","Desconhecido"
"MLGDWG","Desktop Mac","Desktop"
"MANCPJ","iPhone","iPhone"
"UFTZMV","Android Tabled","Android (Tablet)"
"JHZWUZ","Android Phone","Android"
"CAHSFK","Desktop Windows","Desktop"
"TLICEV","iPhone","iPhone"
"JSUMLI","Android Phone","Android"
"FVLOCJ","iPhone","iPhone"
"CDNRYC","Desconhecido","Desconhecido"
"ZPUOQO","iPad","iPad"
"LBQVTY","Android Phone","Android"
"GDVSXN","Desktop Windows","Desktop"
"MRGKBM","iPad","iPad"
"FHCMMH","Android Tabled","Android (Tablet)"
"LVLRVA","iPhone","iPhone"
"HCHXSW","Desktop Windows","Desktop"
"DWQRMB","Desktop Windows","Desktop"
"WLFJZB","iPad","iPad"
"YMGLKV","iPhone","iPhone"
"KSWAJA","iPad","iPad"
"OTLKVP","iPad","iPad"
"TMWMNH","Desktop Windows","Desktop"
"TMXYTR","iPhone","iPhone"
"IXPPJL","iPhone","iPhone"
"MYQOPE","Desktop Windows","Desktop"
"AGNMOY","iPhone","iPhone"
"XBXOQT","Android Phone","Android"
"RNILLA","Android Tabled","Android (Tablet)"
"DKYASG","Desktop Mac","Desktop"
"XWRHSO","Desconhecido","Desconhecido"
"EIXOVF","iPhone","iPhone"
"OSOAOY","Android Phone","Android"
"KZXKZJ","iPhone","iPhone"
"ZHFPAZ","iPad","iPad"
"YODKFM","Desktop Mac","Desktop"
"NGCCWQ","iPhone","iPhone"
"SNEBZN","iPhone","iPhone"
"PENYLK","Desconhecido","Desconhecido"
"FUTYZB","Desktop Windows","Desktop"
"AUJKVQ","Desktop Windows","Desktop"
"YQKHKC","Desktop Mac","Desktop"
"FDFLTY","Desktop Windows","Desktop"
"ILGMIR","iPhone","iPhone"
"VOGFOE","Android Phone","Android"
"NGVKYO","iPad","iPad"
"TTOPEW","Desktop Mac","Desktop"
"QHFCJW","Android Phone","Android"
"FUYGJS","iPhone","iPhone"
"FWKRVP","Desktop Windows","Desktop"
"TCWNJK","Desconhecido","Desconhecido"
"STAAGL","iPad","iPad"
"OUGACZ","Android Phone","Android"
"EMQTIQ","Android Tabled","Android (Tablet)"
"SNUOGQ","iPad","iPad"
"SPGVCT","Desktop Mac","Desktop"
"FAGGQO","iPad","iPad"
"MVCMNN","iPhone","iPhone"
"TAZQOU","Desktop Windows","Desktop"
"UQOWDQ","Android Tabled","Android (Tablet)"
"MMGVHM","Desktop Mac","Desktop"
"ORNCDG","Android Phone","Android"
"LMXBPN","Desconhecido","Desconhecido"
"NETVBF","Android Phone","Android"
"ZPBARY","iPad","iPad"
"FFPEEN","Desktop Windows","Desktop"
"JRUFVX","iPhone","iPhone"
"VMIKUS","Desconhecido","Desconhecido"
"ZAFMDP","iPad","iPad"
"ZXEFTO","iPad","iPad"
"AEQDRK","iPhone","iPhone"
"LCEEUY","Android Tabled","Android (Tablet)"
"ZDBUNK","iPhone","iPhone"
"KUFESA","Android Tabled","Android (Tablet)"
"OTHRRG","Android Tabled","Android (Tablet)"
"RCQSQS","Desktop Mac","Desktop"
"JDMHWV","Desktop Mac","Desktop"
"HGFGQZ","Android Phone","Android"
"WCANTE","iPhone","iPhone"
"KJPWHN","Desktop Mac","Desktop"
"RUSTML","iPad","iPad"
"HRHWTH","iPad","iPad"
"SKFBXU","Desktop Mac","Desktop"
"ZUEOTE","Desconhecido","Desconhecido"
"BRNNOK","Desktop Mac","Desktop"
"ZRVNHC","Android Tabled","Android (Tablet)"
"GKFXVY","Desktop Windows","Desktop"
"VHSEVI","Android Tabled","Android (Tablet)"
"HWEELE","Desktop Windows","Desktop"
"MQLNFI","Android Tabled","Android (Tablet)"
"ASTCCD","iPad","iPad"
"IKFTGY","Desktop Windows","Desktop"
"HIGCWL","iPhone","iPhone"
"HIHLWS","Desktop Mac","Desktop"
"BNLUKS","Android Tabled","Android (Tablet)"
"NHPBVH","Android Phone","Android"
"DFRUMW","Android Tabled","Android (Tablet)"
"NDGCDE","iPhone","iPhone"
"AOOHUZ","iPhone","iPhone"
"KMJABI","Android Phone","Android"
"XBOCEL","Desktop Windows","Desktop"
"LLFPNN","Desktop Mac","Desktop"
"KFWSPG","Desktop Mac","Desktop"
"ERYCCG","Desconhecido","Desconhecido"
"PMMGSE","Android Phone","Android"
"PMPNVI","Android Phone","Android"
"KYHEMN","Desktop Windows","Desktop"
"XIQKYI","iPhone","iPhone"
"BLWCYN","Desconhecido","Desconhecido"
"YOSOAY","Android Phone","Android"
"UGRUFM","Android Tabled","Android (Tablet)"
"QJCWQN","Android Tabled","Android (Tablet)"
"VTFFYL","Android Tabled","Android (Tablet)"
"HDEBDN","iPad","iPad"
"LPSHYK","iPhone","iPhone"
"MWZVOY","Android Phone","Android"
"STWBMX","Desktop Mac","Desktop"
"JTZDSU","Desktop Windows","Desktop"
"NNXWIH","Desktop Windows","Desktop"
"NBWTXC","iPad","iPad"
"CAGJZP","Desconhecido","Desconhecido"
"JPQTRX","Desktop Windows","Desktop"
"VKLLYG","iPhone","iPhone"
"VCSQNW","iPhone","iPhone"
"NHGJAF","iPhone","iPhone"
"MFKJCN","Android Tabled","Android (Tablet)"
"YFAGJR","Android Tabled","Android (Tablet)"
"POJKLY","Desktop Windows","Desktop"
"PPFTGE","Desktop Windows","Desktop"
"PSEZGS","Android Tabled","Android (Tablet)"
"JJFXAE","iPhone","iPhone"
"YBGNAP","Android Tabled","Android (Tablet)"
"KHYPLD","iPhone","iPhone"
"IOLTCG","iPhone","iPhone"
"UUIUTI","iPhone","iPhone"
"UUMGFS","iPad","iPad"
"QTSOXI","Desktop Mac","Desktop"
"EZVYNG","iPhone","iPhone"
"ZWQTOA","Android Phone","Android"
