"OrderID","Region","State"
"CJGYBM","Nordeste","BA"
"ZYCGYF","Centro-Oeste","DF"
"ARKSNF","Sudeste","ES"
"AJKDXA","Centro-Oeste","MS"
"XHXSGF","Sudeste","ES"
"FRIELB","Norte","RR"
"VHMQRQ","Sudeste","RJ"
"JSULGR","Sudeste","MG"
"UZPFAG","Centro-Oeste","GO"
"PIYZEW","Norte","AC"
"NHDUHA","Sudeste","ES"
"CZHLUK","Sul","SC"
"DBCSKR","Sul","PR"
"EXSILV","Sul","PR"
"RSAVGA","Sudeste","ES"
"RAIFWO","Centro-Oeste","DF"
"PSLUST","Norte","RR"
"RLRXOK","Nordeste","CE"
"UNMOIX","Sudeste","RJ"
"SSEHAR","Centro-Oeste","DF"
"WGFMQO","Centro-Oeste","MT"
"ONTXNX","Norte","RR"
"XUBYOE","Sudeste","RJ"
"UCOVPX","Norte","AM"
"EWRMQJ","Nordeste","PB"
"ZJDPPR","Centro-Oeste","MS"
"YXFXZM","Centro-Oeste","GO"
"RYSQSJ","Centro-Oeste","DF"
"WDNZNJ","Sudeste","RJ"
"WBAWYP","Norte","PA"
"MMYVIF","Sul","RS"
"LUOVVP","Sudeste","SP"
"HVFMUV","Nordeste","PB"
"UKKJNS","Sudeste","ES"
"QGHDRQ","Nordeste","PE"
"CZPPOZ","Centro-Oeste","MS"
"AHGDOA","Sudeste","MG"
"GNDXRD","Norte","AP"
"FTXAPM","Sudeste","ES"
"SIZEXV","Centro-Oeste","DF"
"EVWVDF","Centro-Oeste","DF"
"LQPVUN","Nordeste","PI"
"YYNMPN","Sudeste","SP"
"LDBRDT","Norte","PA"
"ZEKDOV","Sudeste","MG"
"KBYLNQ","Centro-Oeste","GO"
"MLGDWG","Nordeste","CE"
"MANCPJ","Centro-Oeste","GO"
"UFTZMV","Centro-Oeste","MT"
"JHZWUZ","Sudeste","SP"
"CAHSFK","Sudeste","ES"
"TLICEV","Centro-Oeste","MS"
"JSUMLI","Centro-Oeste","MT"
"FVLOCJ","Centro-Oeste","MS"
"CDNRYC","Sudeste","ES"
"ZPUOQO","Sul","SC"
"LBQVTY","Sudeste","ES"
"GDVSXN","Sudeste","ES"
"MRGKBM","Sul","SC"
"FHCMMH","Nordeste","MA"
"LVLRVA","Sudeste","RJ"
"HCHXSW","Norte","RO"
"DWQRMB","Centro-Oeste","MT"
"WLFJZB","Nordeste","CE"
"YMGLKV","Norte","TO"
"KSWAJA","Sudeste","SP"
"OTLKVP","Sul","RS"
"TMWMNH","Nordeste","PB"
"TMXYTR","Centro-Oeste","GO"
"IXPPJL","Sudeste","SP"
"MYQOPE","Sudeste","SP"
"AGNMOY","Sudeste","SP"
"XBXOQT","Nordeste","BA"
"RNILLA","Centro-Oeste","MT"
"DKYASG","Centro-Oeste","MT"
"XWRHSO","Sudeste","ES"
"EIXOVF","Sudeste","MG"
"OSOAOY","Sudeste","MG"
"KZXKZJ","Centro-Oeste","GO"
"ZHFPAZ","Sudeste","ES"
"YODKFM","Sudeste","MG"
"NGCCWQ","Centro-Oeste","GO"
"SNEBZN","Nordeste","CE"
"PENYLK","Sul","RS"
"FUTYZB","Sudeste","ES"
"AUJKVQ","Centro-Oeste","MS"
"YQKHKC","Centro-Oeste","MS"
"FDFLTY","Norte","AP"
"ILGMIR","Centro-Oeste","DF"
"VOGFOE","Sudeste","MG"
"NGVKYO","Sudeste","MG"
"TTOPEW","Norte","RR"
"QHFCJW","Norte","TO"
"FUYGJS","Norte","AC"
"FWKRVP","Sul","SC"
"TCWNJK","Norte","AC"
"STAAGL","Centro-Oeste","DF"
"OUGACZ","Centro-Oeste","MT"
"EMQTIQ","Sudeste","MG"
"SNUOGQ","Centro-Oeste","MS"
"SPGVCT","Norte","PA"
"FAGGQO","Centro-Oeste","GO"
"MVCMNN","Sudeste","RJ"
"TAZQOU","Sudeste","RJ"
"UQOWDQ","Norte","PA"
"MMGVHM","Sudeste","RJ"
"ORNCDG","Sudeste","ES"
